STUDENTID,EfficientlyCompletedBlockB
2333000106,False
2333000190,False
2333001633,True
2333003083,True
2333003865,True
2333003938,True
2333004535,True
2333005728,False
2333008221,True
2333008506,False
2333008620,False
2333008921,True
2333008981,False
2333009812,True
2333010501,True
2333011361,True
2333012112,True
2333012643,True
2333014506,True
2333015138,False
2333015286,False
2333015359,False
2333015952,True
2333016037,True
2333016983,True
2333017076,False
2333018480,False
2333018781,True
2333018978,False
2333019371,True
2333020123,True
2333020565,True
2333022266,True
2333022355,True
2333022762,True
2333022959,True
2333024561,True
2333024820,False
2333026008,True
2333026768,True
2333026857,True
2333028663,False
2333029058,False
2333029538,True
2333029945,False
2333030439,False
2333030781,True
2333031796,True
2333032130,False
2333032237,True
2333033268,True
2333034183,True
2333034213,False
2333034710,False
2333035384,False
2333035414,False
2333035813,True
2333035970,False
2333036615,True
2333036666,True
2333036836,True
2333036925,True
2333037107,True
2333037361,True
2333037671,True
2333037956,False
2333038456,True
2333041945,True
2333042607,True
2333045860,True
2333046289,True
2333046726,True
2333047048,True
2333047315,False
2333047722,True
2333047820,True
2333048231,False
2333049083,False
2333051720,True
2333052416,True
2333053510,True
2333053862,True
2333055245,True
2333055849,True
2333056438,False
2333057035,False
2333057531,True
2333057540,True
2333057621,True
2333057965,True
2333058244,True
2333058406,False
2333058732,True
2333058937,True
2333059836,False
2333060702,False
2333060711,True
2333061628,False
2333062667,True
2333062811,True
2333063311,False
2333063418,True
2333065275,True
2333067341,True
2333068401,True
2333068444,True
2333068860,False
2333068959,True
2333069793,False
2333069998,False
2333070147,True
2333070244,True
2333070252,False
2333070643,True
2333070651,False
2333071241,True
2333072697,False
2333072948,False
2333073383,True
2333073545,False
2333073723,False
2333073979,False
2333074070,False
2333074321,True
2333076374,False
2333076684,True
2333077214,True
2333079357,True
2333079683,False
2333079861,True
2333079870,True
2333079942,False
2333080029,False
2333080169,True
2333081149,False
2333081475,False
2333081645,True
2333082668,True
2333082803,True
2333083290,True
2333084385,True
2333084547,True
2333085225,False
2333085551,True
2333085993,True
2333087431,True
2333087872,True
2333088330,False
2333088381,True
2333088488,False
2333088577,True
2333088721,True
2333088798,True
2333089221,True
2333089531,True
2333089573,True
2333089727,True
2333089913,False
2333092370,False
2333092876,False
2333093228,False
2333094453,True
2333094925,True
2333094941,False
2333095204,True
2333095701,False
2333098688,True
2333103371,False
2333103436,False
2333103711,False
2333104165,True
2333104386,False
2333104904,False
2333105161,False
2333105412,True
2333105480,True
2333105617,True
2333106176,True
2333107806,True
2333110106,True
2333110181,False
2333110548,True
2333110696,False
2333111714,True
2333112303,False
2333113181,True
2333114942,True
2333115388,False
2333115477,True
2333115736,True
2333116732,True
2333116881,True
2333117771,True
2333118182,True
2333121167,True
2333122163,True
2333125006,False
2333126291,False
2333127335,True
2333127831,True
2333128501,False
2333129087,True
2333129125,True
2333129443,True
2333129621,False
2333129699,True
2333129974,True
2333130191,False
2333130531,True
2333131065,True
2333132924,True
2333133211,True
2333135150,False
2333135729,False
2333135753,True
2333136342,True
2333136563,True
2333137705,True
2333138205,False
2333138892,True
2333139066,False
2333139490,True
2333140943,True
2333141621,False
2333142296,True
2333142741,True
2333143845,False
2333145538,True
2333149274,True
2333151414,True
2333151856,True
2333152101,False
2333152267,False
2333152291,True
2333152798,True
2333153131,False
2333153204,True
2333153492,False
2333154243,True
2333154308,True
2333154740,True
2333154839,True
2333157048,True
2333157471,False
2333158681,False
2333159377,True
2333159423,True
2333159580,False
2333160367,True
2333160529,True
2333160685,False
2333161371,False
2333162823,True
2333165211,False
2333166250,True
2333166594,False
2333166845,True
2333167949,False
2333168635,True
2333169747,False
2333169992,True
2333170648,True
2333171024,False
2333171946,True
2333172799,True
2333174082,True
2333174864,False
2333175275,True
2333175615,True
2333176476,False
2333176620,True
2333178266,True
2333178673,True
2333178851,False
2333179041,True
2333179114,True
2333179874,True
2333181208,True
2333182344,True
2333182433,True
2333183201,False
2333183359,True
2333183545,True
2333183707,False
2333184134,False
2333184487,False
2333184827,True
2333185581,True
2333186480,True
2333186781,False
2333187621,False
2333189161,True
2333190614,False
2333190703,True
2333192650,True
2333193605,False
2333194768,True
2333195454,False
2333195471,True
2333195497,False
2333195608,True
2333196051,True
2333196744,True
2333198046,True
2333198194,False
2333198542,False
2333199727,False
2333200148,True
2333201373,True
2333203121,True
2333204160,True
2333204518,True
2333205026,True
2333205514,True
2333205778,False
2333205816,True
2333206308,True
2333206618,False
2333206651,False
2333206723,False
2333207746,True
2333208459,True
2333210551,True
2333210704,True
2333210801,True
2333210984,False
2333211832,True
2333212081,True
2333212537,True
2333213037,True
2333213045,True
2333213789,False
2333213797,True
2333214220,True
2333214289,True
2333215137,True
2333215170,False
2333215773,False
2333215986,False
2333217113,True
2333218721,False
2333219230,False
2333219752,True
2333220921,False
2333221111,False
2333221790,False
2333222249,True
2333222460,True
2333222567,True
2333223245,False
2333223695,True
2333224951,False
2333225132,True
2333225701,True
2333225710,True
2333225884,True
2333226392,True
2333227534,True
2333228085,False
2333228379,False
2333228590,True
2333229031,True
2333229120,True
2333229871,True
2333230578,False
2333231418,True
2333232210,False
2333233127,True
2333233631,True
2333234123,True
2333234859,False
2333235502,True
2333236100,True
2333237891,False
2333238242,True
2333238838,False
2333238919,False
2333239249,False
2333239508,False
2333240247,True
2333240549,False
2333242584,True
2333242771,False
2333243777,False
2333244196,True
2333244463,True
2333244722,True
2333245214,False
2333245222,True
2333245338,False
2333245427,False
2333245672,False
2333245923,False
2333246415,True
2333246661,True
2333247527,True
2333248051,True
2333248116,True
2333248710,True
2333248809,True
2333249741,True
2333249813,False
2333252806,True
2333252954,True
2333254647,True
2333254680,True
2333254698,True
2333255104,False
2333256399,True
2333256445,True
2333256721,True
2333257760,True
2333260655,True
2333260981,True
2333262267,True
2333262429,True
2333263204,False
2333263794,True
2333264049,False
2333265754,False
2333266181,False
2333266262,True
2333266343,False
2333266599,True
2333266891,False
2333267102,True
2333267731,True
2333272131,False
2333272238,True
2333272386,False
2333273510,False
2333274184,False
2333275270,True
2333275717,False
2333275962,False
2333276063,True
2333276403,False
2333277515,True
2333277663,True
2333278546,False
2333279909,True
2333280907,True
2333280991,True
2333281342,False
2333281504,True
2333282136,False
2333282691,False
2333282888,True
2333283825,True
2333283884,True
2333288720,True
2333288754,True
2333289173,True
2333290520,False
2333291551,False
2333291747,False
2333292000,True
2333292069,False
2333292671,False
2333293103,False
2333293162,False
2333295581,False
2333295807,True
2333295998,True
2333296242,True
2333296331,False
2333296501,False
2333296781,True
2333297621,True
2333297885,False
2333299471,True
2333299641,False
2333299926,True
2333300584,False
2333300762,False
2333301181,True
2333301289,False
2333302218,False
2333302412,True
2333302561,True
2333302811,True
2333303125,False
2333304563,True
2333305705,True
2333306981,True
2333309191,False
2333309719,True
2333311748,False
2333312841,True
2333313970,False
2333314429,True
2333314917,True
2333314984,False
2333315832,False
2333316219,False
2333316618,True
2333316863,True
2333317304,False
2333317801,False
2333317967,True
2333321204,False
2333321387,False
2333321905,True
2333322006,True
2333322561,True
2333323291,True
2333323436,False
2333323517,True
2333324696,True
2333326486,False
2333326770,False
2333327091,True
2333327181,True
2333327431,False
2333328276,True
2333328471,True
2333328721,False
2333329060,True
2333329141,True
2333329159,True
2333329418,False
2333330076,False
2333330505,True
2333330611,False
2333331102,True
2333331366,False
2333331374,False
2333332621,False
2333333059,False
2333334501,False
2333334667,False
2333337143,True
2333337496,False
2333337640,True
2333338158,True
2333338425,False
2333339006,False
2333339138,False
2333339782,False
2333341141,True
2333341175,False
2333341825,False
2333342481,True
2333343038,True
2333343534,False
2333344565,False
2333345227,False
2333345839,True
2333346347,True
2333346452,True
2333346673,True
